지점,지점명,일시,평균기온(°C),평균 이슬점온도(°C),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),가조시간(hr),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C)
108,서울,2013-03-22,3.4,-3.3,4.8,1003.2,1013.8,12.2,3,-3.8,3.6
108,서울,2013-03-23,5.4,-8.2,3.3,1004.5,1015.1,12.3,7.1,-5.8,6.2
108,서울,2013-03-24,5.1,-5.8,4,1002.6,1013.1,12.3,8.5,-.1,7.1
108,서울,2013-03-25,2.8,-10.2,2.9,1007.2,1017.9,12.3,6.5,-2.4,5.6
108,서울,2013-03-26,4.4,-8.7,3.2,1010.3,1021,12.4,7.3,-5.9,6.2
108,서울,2013-03-27,7.5,-11.1,2.8,1005.6,1016.1,12.4,10.2,-4.2,8
108,서울,2013-03-28,7.3,-5.1,4.3,1006.3,1016.8,12.5,8.3,-1.3,8.2
108,서울,2013-03-29,5.4,-12.3,2.4,1010.4,1021,12.5,9.3,-2.8,7.6
108,서울,2013-03-30,4.9,-8.2,3.6,1011.9,1022.6,12.5,7.3,-.5,7
108,서울,2013-03-31,6.3,-5.9,4,1012.7,1023.4,12.6,10.8,-4,8.5
108,서울,2013-04-01,9.2,-2.9,5.2,1009.3,1019.8,12.6,9.8,-1.1,8.6
108,서울,2013-04-02,7.2,4.9,8.7,1002.7,1013.1,12.7,7.5,2.5,7.9
108,서울,2013-04-03,7.9,.5,6.4,1005.7,1016.2,12.7,9.3,-.9,9
108,서울,2013-04-04,12.6,-.3,6,1006.1,1016.4,12.7,13.2,1.9,11.5
108,서울,2013-04-05,14.6,1.5,6.8,1002.5,1012.7,12.8,14.1,5.5,12.9
108,서울,2013-04-06,7.5,4.8,8.7,990.7,1001,12.8,8.9,2.2,9.4
108,서울,2013-04-07,5.1,-3.2,4.9,995.8,1006.3,12.9,8.2,1.1,8.1
108,서울,2013-04-08,8,-1.6,5.6,1002.5,1012.9,12.9,9.5,-1.1,8.6
108,서울,2013-04-09,6.2,-3.5,4.8,1003.2,1013.7,12.9,6.9,1.1,8.5
108,서울,2013-04-10,5,-5,4.2,1006.7,1017.3,13,5.1,-3.9,5.4
108,서울,2013-04-11,5.5,-3.4,4.8,1005.4,1016,13,5.4,1.3,6.3
108,서울,2013-04-12,6.9,-5.6,4.1,1007.7,1018.2,13.1,9.1,-.9,7.8
108,서울,2013-04-13,11.4,-3.8,4.8,1001.3,1011.6,13.1,12.2,-1.1,10.9
108,서울,2013-04-14,8.3,-7.1,4.6,998.1,1008.5,13.1,11.2,.5,10.9
108,서울,2013-04-15,7.5,-8.8,3.2,1000.1,1010.5,13.2,6.9,-1.8,7.5
108,서울,2013-04-16,13.2,3.1,8.4,993.9,1004,13.2,12.2,6.5,11.6
108,서울,2013-04-17,14.8,7.1,10.1,997.7,1007.8,13.2,17.6,8.9,16
108,서울,2013-04-18,12.3,-3.6,5.2,1001.1,1011.4,13.3,14.8,7.1,14.4
108,서울,2013-04-19,9.8,-8.9,3.2,1007.1,1017.5,13.3,13.2,2.8,12.9
108,서울,2013-04-20,6.6,1.1,6.7,1006.5,1017,13.4,7.7,2.1,8.9
108,서울,2013-04-21,9,0,6.3,1008.3,1018.7,13.4,12.5,.2,11.4
108,서울,2013-04-22,11.4,-2.3,5.3,1011.2,1021.6,13.4,14.5,1.9,13.6
108,서울,2013-04-23,11.2,2,7.6,1004.7,1015,13.5,10.5,7.3,11.2
108,서울,2013-04-24,12.3,5.8,9.3,999.2,1009.4,13.5,16.4,7.4,14.9
108,서울,2013-04-25,9.3,5.7,9.2,998.3,1008.6,13.5,11.3,7.2,12.2
108,서울,2013-04-26,11.7,2.4,7.3,999.7,1010,13.6,14.2,4.5,13
108,서울,2013-04-27,12.8,2.2,7.2,1006.3,1016.5,13.6,15.6,4.1,14.6
108,서울,2013-04-28,16,5.6,9.4,1006.5,1016.6,13.6,15.4,7.8,14.7
108,서울,2013-04-29,13.5,6.9,10.4,1000.9,1011.1,13.7,15.6,7.5,15.6
108,서울,2013-04-30,13.4,2,7.1,998.5,1008.7,13.7,16.3,3.6,15.4
108,서울,2013-05-01,13.2,3.2,7.8,1000.2,1010.4,13.8,16.6,7.2,15.6
108,서울,2013-05-02,12.4,6.1,9.4,1001.9,1012.2,13.8,13.6,5.2,13.5
108,서울,2013-05-03,12.6,5.4,9,1005,1015.3,13.8,14.5,4.8,14.4
108,서울,2013-05-04,13.9,5,8.8,1008.4,1018.7,13.9,17.1,7.8,16.5
108,서울,2013-05-05,14.3,3.1,7.8,1010.3,1020.6,13.9,17.9,5.8,17.2
108,서울,2013-05-06,14.6,4.4,8.4,1007.9,1018.1,13.9,18.2,6.2,17.5
108,서울,2013-05-07,18.7,4.7,8.6,1009.5,1019.6,13.9,20.7,7.4,19.7
108,서울,2013-05-08,19.4,1.8,7.1,1008.9,1019,14,22.1,8.2,21
108,서울,2013-05-09,18.1,8.1,11.1,1002.7,1012.8,14,18.8,9.1,18.7
108,서울,2013-05-10,14,12.2,14.3,992.7,1002.7,14,15.9,10.7,16.2
108,서울,2013-05-11,17.9,7.6,10.5,994,1004,14.1,19.5,11.1,19.4
108,서울,2013-05-12,19.1,11.4,13.5,994.7,1004.6,14.1,19.3,13.6,19.3
108,서울,2013-05-13,21.6,8.4,11.2,1000.6,1010.5,14.1,22.4,13.6,22.1
108,서울,2013-05-14,20.2,8.1,10.9,1001.9,1011.8,14.2,21,11.4,20.7
108,서울,2013-05-15,19.4,10.1,12.4,1002.7,1012.7,14.2,22.8,14.2,22.5
108,서울,2013-05-16,22,4.1,8.3,1006.8,1016.8,14.2,24.2,13.7,23.6
108,서울,2013-05-17,20.2,4.4,8.4,1005.7,1015.7,14.3,23.8,9.6,23.6
108,서울,2013-05-18,17.7,10,12.4,999,1009,14.3,20.1,11.2,20.2
108,서울,2013-05-19,16.6,13.2,15.2,989,999,14.3,18.9,13.1,18
108,서울,2013-05-20,14.4,10,12.3,993.8,1003.9,14.3,16.6,6.6,16.8
108,서울,2013-05-21,17.7,2.4,7.6,997.4,1007.4,14.3,20,3.9,19.5
108,서울,2013-05-22,19.7,8.2,11.3,1000.7,1010.7,14.4,19.7,8.4,19.8
108,서울,2013-05-23,22.1,12.8,14.8,1002.9,1012.8,14.4,24.6,10.3,23.9
108,서울,2013-05-24,21.3,12.3,14.3,1003.8,1013.8,14.4,24.3,12.1,23.8
108,서울,2013-05-25,24.7,12.7,14.7,1003.6,1013.4,14.5,26.7,15.8,26.1
108,서울,2013-05-26,23.9,11.2,13.4,1005.6,1015.4,14.5,25.9,17.7,25.5
108,서울,2013-05-27,19.7,16,18.2,999.6,1009.5,14.5,20,17.2,20.4
